Type gefailleerde,"Bedrijven, instellingen en eenmanszaken",Natuurlijk persoon met eenmanszaak,Bedrijven en instellingen
"A Landbouw, bosbouw en visserij",31,8,23
B Delfstoffenwinning,2,0,2
C Industrie,264,20,244
D Energievoorziening,9,0,9
E Waterbedrijven en afvalbeheer,19,2,17
F Bouwnijverheid,507,216,291
G Handel,847,117,730
H Vervoer en opslag,213,31,182
I Horeca,254,58,196
J Informatie en communicatie,144,9,135
K FinanciÃ«le dienstverlening,398,2,396
L Verhuur en handel van onroerend goed,53,0,53
M Specialistische zakelijke diensten,421,22,399
N Verhuur en overige zakelijke diensten,279,45,234
O Openbaar bestuur en overheidsdiensten,0,0,0
P Onderwijs,42,11,31
Q Gezondheids- en welzijnszorg,156,17,139
"R Cultuur, sport en recreatie",64,9,55
S Overige dienstverlening,70,16,54
T Huishoudens,0,0,0
SBI-code onbekend,19,0,19
