Type gefailleerde,"Bedrijven, instellingen en eenmanszaken",Natuurlijk persoon met eenmanszaak,Bedrijven en instellingen
"A Landbouw, bosbouw en visserij",16,4,12
B Delfstoffenwinning,0,0,0
C Industrie,102,8,94
D Energievoorziening,11,0,11
E Waterbedrijven en afvalbeheer,9,1,8
F Bouwnijverheid,317,119,198
G Handel,331,42,289
H Vervoer en opslag,130,33,97
I Horeca,111,14,97
J Informatie en communicatie,76,3,73
K FinanciÃ«le dienstverlening,188,0,188
L Verhuur en handel van onroerend goed,30,1,29
M Specialistische zakelijke diensten,199,12,187
N Verhuur en overige zakelijke diensten,141,24,117
O Openbaar bestuur en overheidsdiensten,1,0,1
P Onderwijs,14,4,10
Q Gezondheids- en welzijnszorg,71,7,64
"R Cultuur, sport en recreatie",24,2,22
S Overige dienstverlening,28,6,22
T Huishoudens,0,0,0
SBI-code onbekend,19,1,18
